name,comment
甘草潮菜馆(海宁路店),3037
谭鸭血老火锅(世纪汇店),2935
常赢三兄弟涮肉(崂山路店),768
左庭右院鲜牛肉火锅(江桥万达店),58
今日牛事潮汕鲜牛肉火锅(五角场店),3281
辛元鲜牛肉火锅,5413
豆捞坊·胶原花胶火锅(宝乐汇店),1995
墨邸养生火锅,179
呷哺呷哺(白玉兰广场店),132
红料理|串串有瘾(万航渡路店),6227
山屿海港式海鲜火锅,67
九鼎轩脆毛肚火锅(三钢里店),2275
酒玥火锅,295
嗨锅(宝山万达店),10604
熬八年台湾火锅(大悦城店),450
那都不是锅港式打边炉(世纪大道店),152
左庭右院鲜牛肉火锅(百联中环店),1424
左庭右院鲜牛肉火锅(颛桥万达店),883
那都不是锅港式打边炉(呼玛店),296
渝利火锅(大宁国际店),1497
九鼎轩脆毛肚火锅(虹梅路店),1315
坎爷秘制火锅(淮海东路店),3323
宝燕海货工场·蒸汽海鲜加工(大宁店),1743
耍串·川味小食研究所(白玉兰广场店),109
找到牛日式放题火锅,121
珍焰港式私房火锅,489
蜀中状元府火锅,130
蜀火火锅(江文路店),437
魔都川西坝子火锅餐厅(八佰伴店),335
捞王锅物料理(维璟广场店),1005
十六道牛味潮汕牛肉火锅(七宝店),3271
佐冷馋·串串里(成都南路直营店),305
哈尼石锅鱼(南方商城店),66
焱揽香,98
炉火传奇鲜菌牛腩火锅(松江万达店),893
凯达石斑鱼打边炉(打浦路缤纷城店),2242
京锅屋 たか木,325
大龙燚火锅(五角场万达店),415
哈尼石锅鱼(金虹桥国际中心店),4051
泽成羊(亿丰时代广场店),103
楽牛·精品牛排火锅(新天地店),62
君来顺老北京四季火锅涮肉(程家桥路店),277
三太子涮肉,1065
Yasmine’s 茉莉火锅(襄阳店),47
哥老官重庆美蛙鱼头(昌里路十哥店),6197
爽爆美蛙鱼头火锅(绿地缤纷城店),1668
青花椒砂锅鱼(凯德七宝购物广场店),8204
熬八年台湾火锅(南京西路店),2155
泰灵艳泰式火锅料理,1781
椰子不语(凯德晶萃店),517
怀捞主题牛鲜料理火锅,623
红辣椒(月浦店),3800
哥老官重庆美蛙鱼头(奉贤宝龙二十一哥店),809
左庭右院鲜牛肉火锅(开元地中海店),840
青花椒砂锅鱼(三钢里店),16480
重庆高老九火锅(徐泾店),931
活虾堂老北京羊蝎子涮肉(江桥万达店),152
蜀大侠火锅(天山店),4276
极极骨头煲火锅,303
煲宫(中庚漫游城店),206
京炉·北京烤鸭火锅(第一百货店),1527
青花椒砂锅鱼(南丰城店),2229
谭鸭血老火锅(环球港店),2099
左庭右院鲜牛肉火锅(百联南桥店),515
嗨锅(淮海中路店),3385
洪太极热气羊肉羊蝎子火锅(普陀店),5498
嗨锅(浦东新大陆广场店),6451
蜀城巷子老成都火锅(控江店),3763
豆捞坊·胶原花胶火锅(金桥店),10312
煲宫(打浦桥店),3744
云情鱼意云南蒸汽石锅鱼(文峰广场店),588
红料理|串串有瘾(天山店),2245
左庭右院鲜牛肉火锅(百联西郊店),133
马路边边串串香火锅(昌平路店),342
觅香·老成都串串香,101
蟹逅港式海鲜火锅,57
捞王锅物料理(莘庄龙之梦购物中心店),5025
捞王锅物料理(中冶祥腾城市广场店),5197
大渝火锅(合生汇店),8856
蜀二爷·牛排火锅,1210
煲宫(新邻生活广场店),3973
凯达石斑鱼打边炉(中环百联店),850
季悦火锅(虹桥迎宾馆店),688
红料理|串串有瘾(淮海西路店),368
谭鸭血老火锅(虹口足球场店),1874
二門市·市井火锅,1697
筑间幸福锅物(塞纳左岸店),942
马路边边串串香火锅,1325
牛小嫩串串香火锅,731
大鹅·鲜鹅火锅(宝山万达店),767
一心牛寿喜锅&涮涮锅(日月光广场店),3385
鼎尊锅物料理(斜土路店),2314
亿鼎烩猪肚鸡火锅(松江店),1234
熬八年台湾火锅(大宁国际店),851
新万先(星星堂店),141
京炉·北京烤鸭火锅(嘉定店),715
红魔重庆美蛙火锅(松江万达店),207
炉得香双层烤鸭火锅(嘉定乐购店),1623
炉得香双层烤鸭火锅(人民广场店),1682
蛙来哒炭烧牛蛙(长泰广场店),602
火鸳鸯YUANYANG,18
渝利火锅(维璟广场店),1282
心上签·火锅串串专门店,503
锅涨涨港式打边炉(川沙旗舰店),202
捞王锅物料理(龙茗路店),7196
湊湊火锅·茶憩(虹口月亮湾店),2000
Mo·Mo牧场(长泰广场店),6664
集渔·泰式海鲜火锅(中信泰富新城万达店),487
九牛二炉潮汕鲜牛肉火锅(昌平店),4765
四川香天下火锅(五角场店),16538
钱家·乔老爷铜锅涮肉(新大陆广场店),376
嗨锅(虹桥天地店),1578
王宝和大酒店,1504
辉哥海鲜火锅(洛克外滩源店),722
汤爷港式海鲜火锅,58
313羊庄锡盟真羊·烤全羊(永德路店),191
好骨气火锅(长阳店),682
嗨锅(金山万达店),176
云中鱼云南蒸汽石锅鱼(虹口足球场店),719
蜀大侠火锅(人民广场店),3319
哈尼石锅鱼(永新坊店),4037
黔岭牛庄鲜牛肉火锅(虹井路乐坊店),226
煲宫(五角场店),3512
小三宝火锅(淮海店),7475
正國老火锅(魔都直营店),197
麻十七重庆老麻火锅(徐家汇店),451
辣府(云南南路店),22958
四川香天下火锅(安亭财富广场店),3865
那都不是锅港式打边炉(浦东巴黎春天店),1204
九久日本料理·和牛寿喜烧(1088广场店),5729
熬八年台湾火锅(虹桥天地店),618
青花椒砂锅鱼(开元地中海店),981
滇风来云南蒸汽石锅鱼(悠方店),305
街儿巷小郡肝串串香火锅(人民广场店),423
大龙燚火锅(淮海东路店),633
味觉至上烤鸭火锅,107
大龙燚火锅(天钥桥路店),153
大龍曲火锅(江宁路店),173
火锅先生(虹桥天地店),337
三生小馆,542
老门框爆肚涮肉(锦安东路店),742
德隆楼涮肉,895
川溢香老成都火锅(普陀店),1539
熬八年台湾火锅(南丰城店),1049
辣府(徐汇店),12990
一锅入魂日式火锅(南京东路店),1438
唐府养生锅物料理(浦江生活广场店),1204
重庆高老九火锅(南翔太茂商业广场店),168
琼州黎民海南椰子鸡(日月光中心广场店),47
捞王锅物料理(大融城店),2322
狠牛火锅料理(三德广场店),453
燕归巢猪肚鸡火锅,435
老街小牛火锅串串,216
红料理(龙柏店),822
融诚之·川东大院(大华路店),4679
德庄火锅(物华路店),75
老高家热气涮羊肉&蚝红天虾(板泉路店),1548
那都不是锅港式打边炉(中原城市广场店),58
金聚德果木烤鸭火锅(平利路),384
杨府霸道私房火锅(国定路店),1379
老成都串串香火锅,106
巴四老城区(世茂广场店),305
那都不是锅港式打边炉(川沙店),700
雄帝和老重庆火锅馆(张江绿地缤纷广场店),369
吼爽·重庆火锅(新世界城店),6455
宝燕海货工场·煮海海鲜火锅(春申店),1039
青花椒砂锅鱼(米岛店),7371
老门框爆肚涮肉店(凌河路店),146
渝利火锅(96广场店),9620
诺铂火锅,321
N2U BARBECUE熨斗烤肉(宝山万达金街店),1583
左庭右院鲜牛肉火锅(正大乐城店),39
Mo Mo牧场(金虹桥国际中心店),7279
得億火锅,350
西北郎炭火蛙锅·烧烤(吴江路3店),701
那都不是锅港式打边炉(五角场店),484
四川香天下火锅(昌里路店),141
酸滋味酸汤火锅,179
冰奇羊·冰煮的牦牛肉羊肉(中庚漫游城店),106
荔枝·青年火锅(魔都直营店),156
爸爸炒料牛排老火锅(世纪汇店),78
藻想鱼见你·鲜货鱼火锅(八佰伴店),2239
狠牛火锅料理(宝山亿博店),2091
泰小伙曼谷夜市火锅(金桥国际广场店),3260
半斤八两小郡肝串串香,238
汤伯府·骨汤猪肚鸡(泗泾店),405
辣府(金沙江路店),10602
海底捞火锅(五龙广场店),72
壹小馆·皇城老妈小火锅(凯德星贸店),1341
铜炉湾·潮汕牛肉火锅(世博源店),10558
嗨锅(七宝凯德店),574
四川香天下火锅(大华店),8709
老天桥蛙炉火锅,819
易品轩私房火锅,623
豆捞坊·胶原花胶火锅(浦江店),1769
鱼柜 鱼火锅(农工商牡丹江路店),47
那都不是锅港式打边炉(高桥店),481
花吃菌煮(古北路店),2029
豆捞坊·胶原花胶火锅(江桥万达店),4381
哈尼石锅鱼(人广来福士店),2241
老码头火锅(铜川路店),988
九牛二炉潮汕鲜牛肉火锅(中兴店),5435
樱桃捞火锅(南京西路店),1636
熬八年台湾火锅(富民路店),4896
欲之宴·香焰黑椒牛肉锅,225
牛签签串串香火锅(人广旗舰店),397
红料理|串串有瘾(昌里店),2513
菌府码头牛腩鲜菌火锅(金杨路店),798
好骨气火锅(外高桥店),2432
嗨锅(诺亚新天地店),5699
筑间幸福锅物(万都中心店),325
豆捞坊·胶原花胶火锅(大宁国际商业广场店),1697
东来居港式海鲜火锅 King’s Garden,187
炉得香烤鸭火锅(龙茗路店),1958
齐民市集(衡山路店),2251
煲宫(万体店),5135
麻十七重庆藤椒蛙火锅(南京东路店),4549
左庭右院鲜牛肉火锅(联洋广场店),41
宴羊楼(纳贤店),442
那都不是锅港式打边炉(仙霞店),59
大龙燚火锅(浦东食品城店),2021
本素•酸菜鱼(永靖店),1973
渝火老城区炭火蛙锅(定西路店),1567
小辉哥火锅(大悦城店),281
旬四时五味,479
云蜀哥鲜牛肉美蛙鱼火锅,53
红房串香·小郡肝串串香(仲盛世界店),103
宫幺妹火锅(宝龙广场店),229
焱格格蔬食料理火锅(静安店),2580
今年牛事·潮品全牛火锅(曹杨路店),4061
我在成都等你(云南南路店),3589
京城一锅羊蝎子火锅(阳曲路店),537
四川香天下火锅(天山店),10425
炉得香双层烤鸭火锅(汶水路店),4016
里白花胶鸡汤火锅(金山店),273
左庭右院鲜牛肉火锅(金山万达店),583
乐聚捞火锅·酒馆(罗店上坤店),109
吴老幺火锅(静安店),59
明洞刀面·火锅(虹泉路店),2162
巴实重庆老麻火锅(浦江华侨城店),3221
相逢菌语,132
红料理|串串有瘾(张杨路店),189
云中鱼云南蒸汽石锅鱼(五角场店),495
梅亭自助寿喜锅,1243
臻·老龙口涮肉坊(虹井路店),301
君之濠海鲜火锅,42
重庆大队长火锅,87
金胶玉粤·胶原花胶鸡火锅PHOENIX Hotpot&Bar(龙茗路...,451
钱家·乔老爷铜锅涮肉,1479
渝利火锅(开元地中海店),3194
聚城老北京爆肚涮肉坊,143
觅香稻场火锅小酒窝,443
虾启哄·川江湖,80
香港蛟龙过海,470
井格重庆火锅(龙之梦店),4096
酒寻,286
嗨锅(中山公园店),4664
京三爷老北京铜炉涮锅(中信广场店),2880
丽江印象斑鱼府(七宝宝龙店),1286
四川香天下火锅(吴中路店),3058
捞王锅物料理(金鼎路店),2431
德荣老北京铜锅(物华路店),505
潮牛海记(上海通北路店),4580
皇城根(华宁弘基生活中心店),4410
邂逅丽江·鲜货斑鱼府(松江店),512
潮家牛肉火锅(广灵二路店),2358
313羊庄(宝山万达店),34
巴四老城区炭火蛙锅(大悦城店),1612
罗记火锅(卢湾店),100
壹条锅私房料理(华山花苑店),490
谭记斑鱼庄(东鼎购物中心店),279
辣椒星球串串集合店ChiliChili,1459
大渝火锅(七宝万科店),767
鼎尊锅物料理(五角场店),1520
钢管厂五区小郡肝串串香火锅(南京西路店),504
大渝火锅(五角场万达店),4392
明成缘 帕帕呀(塔城路店),1446
辣府(打浦店),8777
老门框爆肚涮肉(四川北路店),126
重庆镇三关火锅(中海环宇荟店),849
红料理|串串有瘾(梅川店),2283
粮好山黄牛火锅,306
云中鱼云南蒸汽石锅鱼(浦东食品城店),1272
煲宫(龙阳广场店),7375
颐品居热气羊肉馆(乌鲁木齐中路店),2521
青花椒砂锅鱼(长寿路店),4539
重庆高老九火锅(嘉定华润万家店),2598
东来顺(外滩店),4515
蒸嗨啦蒸汽海鲜主题餐厅(浦江城市生活广场店),619
新一哥港式精品火锅(瑞金店),255
宽城子成都市井火锅(宝山路店),2027
小辉哥火锅(世博源店),7832
杨府霸道私房火锅,798
耍串·川味小食研究所(保利时光里店),790
哈尼石锅鱼(近铁城市广场店),455
百素我家酸菜鱼(长宁龙之梦店),4494
红料理|串串有瘾(复旦店),626
老城区炭火蛙锅(疁城新天地店),123
巴顿火锅(泗泾店),1980
三人行骨头王火锅(日月光中心店),539
魔焰美蛙鱼头(龙湖北城天街店),1074
战炉老城区炭火蛙锅,264
小辉哥火锅(龙之梦购物中心虹口店),8015
四川香天下火锅(淮海中路店),10884
古炉火锅·老成都(七宝宝龙店),1838
巴愚人码头文化火锅,276
辣疯乐美蛙鱼头火锅,590
北京五爷涮羊肉(田尚坊商业中心店),3396
牛华八婆火锅串串(玫瑰坊总店),347
麻十七重庆老麻火锅(龙盛国际商业广场店),3319
德荣老北京铜锅(营口路店),724
唐府养生锅物料理(三林店),431
三人行骨头王火锅(徐汇总店),27295
陈记顺河牛肉宴(大宁店),1487
樱花渡火锅,19
青锅花椒鱼·纸包鱼(包头南路店),458
蜀九香(延安西路店),4891
粤品捞猪肚鸡(共康店),759
香港燚丰海鲜火锅,807
肥妈正宗澳门猪骨煲,40
严记老北京涮锅(徐汇店),1250
华虾乡&老北京铜锅涮羊肉(九百店),818
京韵胡同羊蝎子火锅涮肉(长寿路店),6428
老北京涮锅,162
李鸭血重庆老火锅,48
四川香天下火锅(龙阳店),2167
御香海(宋园店),1097
四川香天下火锅(泗泾店),319
大龙燚火锅(长寿店),4649
牛很鲜潮汕牛肉火锅,8950
老长沙跳跳蛙,1532
四川香天下火锅(唐镇店),941
韩膳宫料理(新世界城店),17490
山城辣妹子(汇都店),8310
四川香天下火锅(米岛美食中心店),5694
云南蒸汽石锅鱼(汇阳广场店),741
虹村正宗潮汕打边炉(合川路店),341
骨又几筒骨煲火锅料理,257
重庆牧羊传奇火锅(杨浦新江湾城店),534
四川香天下火锅(延安西路店),6209
老门框爆肚涮肉店(淮海东路店),1824
炊二哥四川火锅(长宁店),1289
吴记鲜定味,2591
四川香天下火锅(川沙店),764
那都不是锅港式打边炉(鹿都商业广场店),307
海道传火锅,5891
舞泽蟹物料理(新世界城店),2301
七婆串串香火锅,378
捞鲜生锅物料理,3524
巴实重庆老麻火锅(虹桥新华联店),1590
豆捞坊·胶原花胶火锅(万达广场松江店),2976
花好月圆宫廷火锅,323
洪员外牛腩火锅(晶品店),2646
巴实重庆老麻火锅(七宝宝龙店),3193
八道湾热气羊肉羊蝎子火锅(三钢里店),8098
重庆巴王府火锅,2644
蜀城巷子老成都火锅(潍坊路店),6479
大龙燚火锅(大木桥路店),2797
禾牛赞寿喜烧,558
贵家炭火烤肉(189弄购物中心店),1638
哈尼石锅鱼(富都广场店),1331
椰子不语(淮海路店),7175
渝利火锅(漕宝路店),571
红料理|串串有瘾(物华路店),2987
七欣天品蟹轩(亿丰时代广场店),966
让签签飞小郡肝串串香(福州路旗舰店),558
一锅入魂日式火锅(徐家汇店),568
握料理,808
销魂美蛙鱼头火锅,425
上渔(龙湖天街店),257
筑间幸福锅物(东明广场店),412
椰庭椰子鸡(徐汇日月光店),1467
熬八年台湾火锅(陆家嘴店),572
陈记顺和牛肉店(浙江南路店),5098
炉得香双层烤鸭火锅(松江店),396
海底捞火锅(南奉公路店),32
大头椰(万象城店),1282
东来顺(爱琴海购物中心店),845
重庆熬家老火锅(金桥太茂店),3478
